"","mgi_symbol","Frequency.x","WT_percent_Myh11_TFs","Frequency.y","MutAll_percent_Myh11_TFs","Δfrequency","Δpercent","Murine_RNA-seq_cluster_UP","Murine_RNA-seq_cluster_DOWN"
"1","Myh11",9700,100,9344,96.3298969072165,356,3.67010309278351,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"21","Pde4b",2289,23.5979381443299,2211,22.7938144329897,78,0.8041237113402,"NAcluster_1,",NA
"55","Phactr1",2030,20.9278350515464,2014,20.7628865979381,16,0.1649484536083,"NAcluster_1,cluster_2,",NA
"60","Fry",2013,20.7525773195876,1955,20.1546391752577,58,0.597938144329902,"NAcluster_1,",NA
"61","Sorbs2",2012,20.7422680412371,1950,20.1030927835052,62,0.6391752577319,"NAcluster_1,cluster_3,",NA
"119","Lpp",1848,19.0515463917526,1790,18.4536082474227,58,0.597938144329898,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"129","Tsc22d1",1831,18.8762886597938,1818,18.7422680412371,13,0.134020618556701,"NAcluster_6,cluster_7,","NAcluster_3,"
"138","Foxp2",1817,18.7319587628866,1814,18.7010309278351,3,0.0309278350515001,"NAcluster_1,",NA
"170","Tns1",1767,18.2164948453608,1749,18.0309278350515,18,0.185567010309299,"NAcluster_1,cluster_2,","NAcluster_6,cluster_7,"
"200","Sulf1",1727,17.8041237113402,1717,17.7010309278351,10,0.103092783505101,"NAcluster_5,","NAcluster_7,"
"234","Dpysl3",1687,17.3917525773196,1623,16.7319587628866,64,0.659793814433002,"NAcluster_1,cluster_3,","NAcluster_7,"
"263","Palld",1650,17.0103092783505,1635,16.8556701030928,15,0.154639175257703,"NAcluster_3,",NA
"270","Slc7a2",1642,16.9278350515464,1627,16.7731958762887,15,0.154639175257699,"NAcluster_5,","NAcluster_1,cluster_2,"
"285","Ptprb",1627,16.7731958762887,1622,16.7216494845361,5,0.0515463917525985,"NAcluster_2,",NA
"295","Mme",1617,16.6701030927835,1565,16.1340206185567,52,0.536082474226799,"NAcluster_4,cluster_6,",NA
"320","Dab2",1598,16.4742268041237,1587,16.360824742268,11,0.113402061855698,"NAcluster_7,","NAcluster_1,cluster_2,cluster_3,"
"348","Limch1",1573,16.2164948453608,1560,16.0824742268041,13,0.134020618556701,"NAcluster_1,",NA
"363","Rbpms",1564,16.1237113402062,1505,15.5154639175258,59,0.6082474226804,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"373","Adamtsl1",1561,16.0927835051546,1544,15.9175257731959,17,0.1752577319587,"NAcluster_1,",NA
"431","Bdnf",1548,15.9587628865979,1540,15.8762886597938,8,0.0824742268040985,NA,"NAcluster_7,"
"446","Col15a1",1536,15.8350515463918,1473,15.1855670103093,63,0.649484536082499,"NAcluster_3,cluster_4,cluster_5,","NAcluster_6,cluster_7,"
"451","Rcan2",1535,15.8247422680412,1522,15.6907216494845,13,0.134020618556701,"NAcluster_1,",NA
"468","Mical2",1526,15.7319587628866,1495,15.4123711340206,31,0.319587628866001,"NAcluster_1,cluster_3,",NA
"477","Plcb4",1518,15.6494845360825,1514,15.6082474226804,4,0.0412371134021008,"NAcluster_1,cluster_2,",NA
"491","Myo10",1509,15.5567010309278,1504,15.5051546391753,5,0.051546391752499,"NAcluster_4,",NA
"505","Lims2",1502,15.4845360824742,1492,15.3814432989691,10,0.103092783505101,"NAcluster_1,",NA
"530","Ppp1r12b",1491,15.3711340206186,1483,15.2886597938144,8,0.0824742268041998,"NAcluster_1,cluster_3,",NA
"542","Mtus2",1487,15.3298969072165,1480,15.2577319587629,7,0.0721649484536009,"NAcluster_1,",NA
"550","Dnajb4",1483,15.2886597938144,1475,15.2061855670103,8,0.0824742268041003,"NAcluster_1,cluster_3,",NA
"1060","Cystm1",1473,15.1855670103093,1458,15.0309278350515,15,0.154639175257801,"NAcluster_1,",NA
"1063","Gpm6b",1473,15.1855670103093,1386,14.2886597938144,87,0.896907216494901,"NAcluster_4,","NAcluster_1,cluster_2,"
"1064","Pkp4",1473,15.1855670103093,1450,14.9484536082474,23,0.237113402061901,"NAcluster_1,",NA
"1146","Kif26b",1451,14.9587628865979,1399,14.4226804123711,52,0.536082474226799,"NAcluster_3,",NA
"1192","Fhl1",1434,14.7835051546392,1426,14.7010309278351,8,0.0824742268040985,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"1243","Col4a1",1417,14.6082474226804,1412,14.5567010309278,5,0.0515463917526002,"NAcluster_1,cluster_3,cluster_4,","NAcluster_6,cluster_7,"
"1250","Phldb2",1413,14.5670103092784,1408,14.5154639175258,5,0.0515463917526002,"NAcluster_3,",NA
"1324","Srgn",1390,14.3298969072165,1385,14.2783505154639,5,0.0515463917526002,NA,"NAcluster_1,cluster_3,"
"1325","Net1",1390,14.3298969072165,1383,14.2577319587629,7,0.0721649484536009,"NAcluster_1,",NA
"1337","Filip1l",1386,14.2886597938144,1369,14.1134020618557,17,0.1752577319587,"NAcluster_1,cluster_2,cluster_3,","NAcluster_6,cluster_7,"
"1349","Atf3",1383,14.2577319587629,1315,13.5567010309278,68,0.701030927835101,"NAcluster_6,","NAcluster_5,"
"1354","Gsn",1382,14.2474226804124,1378,14.2061855670103,4,0.0412371134021008,"NAcluster_7,","NAcluster_2,cluster_3,"
"1381","Trps1",1375,14.1752577319588,1371,14.1340206185567,4,0.041237113402099,"NAcluster_7,","NAcluster_1,cluster_2,cluster_3,"
"1394","Calcrl",1370,14.1237113402062,1365,14.0721649484536,5,0.0515463917525985,"NAcluster_4,","NAcluster_7,"
