,A1_CRRA190009494,A2_CRRA190009495,A3_CRRA190009496,A4_CRRA190009497,B1_CRRA190009498,B2_CRRA190009499,B3_CRRA190009500,B4_CRRA190009501,D1_CRRA190009506,D2_CRRA190009507,D3_CRRA190009508,D4_CRRA190009509
Xkr4,11.6365208224947,7.01004404828303,13.0540298576948,7.2411012066353,10.489316483285,7.45520814511643,8.94322337372568,8.47910440041389,5.10048204033349,4.49963466801205,12.6419929757729,4.97983102562964
Rp1,0,0,1.0041561428996,0,5.64809349099962,0,2.6829670121177,0,2.0401928161334,7.19941546881927,4.21399765859097,0.995966205125929
Sox17,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl15,843.647759630868,791.133542591942,1061.39304304487,1017.89194104702,810.904851207803,834.98331225304,863.9153779019,944.94907929057,997.654287089231,962.921818954578,1065.08790820887,902.345381844091
Lypla1,3462.83465476072,3235.63604571464,3476.3885667184,3451.936389506,2832.92232098567,3034.26971506239,3067.52561718791,3255.03396704778,3043.96768167103,3191.14090655414,3154.17724745534,3079.52750624937
Tcea1,3997.14490252694,4105.88294256577,4175.28124217652,3807.78479166065,3588.15310778219,3757.42490513868,4002.98678207961,4010.61638139577,3714.17102177085,4081.16864388693,3812.61438161018,3777.69981604265
Rgs20,1.93942013708246,0,3.01246842869879,1.03444302951933,0.806870498714231,0.931901018139554,0,0,1.0200964080667,0,4.21399765859097,0
Atp6v1h,2569.73168163425,2504.58859496512,2696.15924368542,2630.58862406765,2545.6764234434,2543.15787850284,2564.02214124715,2608.73778719401,2197.28766297567,2239.9181377364,2342.98269817658,2369.40360199458
Oprk1,0,0,0,0,3.22748199485693,0,0,0.942122711157099,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,3087.55685823527,3019.3261150819,2646.95559268334,2564.38427017842,2680.42379672868,2693.19394242331,2857.35986790535,2881.01125071841,3067.42989905656,3066.05106278341,2791.77344881652,3160.20076886457
Fam150a,0,0,0,0,0,0,0,0,0,0,0,0
St18,1.93942013708246,0,0,0,0,0,0,0,0,0,0,0
Pcmtd1,3402.71263051117,3431.91727906656,3325.76514528346,3279.18440357627,3109.67890204465,3351.11606122983,3679.24209595074,3606.44573830938,3104.15336974696,3233.43747243346,2891.85589320806,3174.14429573633
Sntg1,0,0,0,0,0,0,0,0,0,0,0,0
Rrs1,938.679346347908,863.236852802853,1026.24757804339,1080.9929658477,904.501829058653,982.223673119089,973.917025398726,1183.30612521332,810.976644413025,865.729710125518,888.100006548048,894.377652203084
Adhfe1,93.0921665799579,89.1277028995985,94.3906774325621,77.5832272139496,88.7557548585655,95.0539038502345,73.3344316645506,88.5595348487673,107.110122847003,113.390793633904,96.9219461475924,117.52401220486
2610203C22Rik,1.93942013708246,18.0258275527278,6.02493685739758,2.06888605903866,12.1030574807135,5.59140610883732,4.47161168686284,16.0160860896707,6.12057844840019,8.99926933602409,23.1769871222504,8.96369584613336
3110035E14Rik,2.90913020562368,1.00143486404043,4.01662457159839,1.03444302951933,0,0,1.78864467474514,0,0,1.79985386720482,0,0
Mybl1,322.913452824229,353.506507006273,305.263467441477,289.644048265412,240.447408616841,242.294264716284,238.784064078476,188.42454223142,577.374566965751,526.457256157409,474.074736591485,407.350177896505
Vcpip1,2560.03458094884,2524.61729224593,2263.36794609569,2430.94111937042,2113.19383613257,2439.71686548935,2422.71921194229,2667.14939528575,2609.40661183461,2650.2848194591,2290.30772744419,2609.43145742993
1700034P13Rik,0,5.00717432020216,4.01662457159839,8.27554423615463,0.806870498714231,7.45520814511643,8.04890103635311,2.8263681334713,3.06028922420009,2.69978080080723,5.26749707323872,13.943526871763
Sgk3,203.639114393658,185.26544984748,184.764730293526,155.166454427899,127.485538796849,189.175906682329,155.612086702827,156.392370052078,181.577160635872,158.387140314024,204.378886441662,182.261815538045
Mcmdc2,0.969710068541228,0,1.0041561428996,0,9.68244598457078,0,0.894322337372568,0,0,4.49963466801205,5.26749707323872,0
Snhg6,266.670268848838,326.467765677181,330.367371013967,327.918440357627,401.821508359687,354.12238689303,355.045967936909,342.932666861184,283.586801442542,330.273184632084,376.099291029244,346.596239383823
Snord87,1.93942013708246,0,0,1.03444302951933,0.806870498714231,0.931901018139554,1.78864467474514,0,0,0,3.16049824394323,0
Tcf24,0.969710068541228,3.0043045921213,1.0041561428996,0,0.806870498714231,0,1.78864467474514,0,6.12057844840019,0,2.10699882929549,0
Ppp1r42,3.87884027416491,1.00143486404043,2.00831228579919,1.03444302951933,4.84122299228539,4.65950509069777,3.57728934949027,0.942122711157099,9.18086767260029,0.899926933602409,0,0
Cops5,1920.02593571163,2086.99025666026,2095.67387023146,2164.05481775444,1900.98689497073,1857.27872915213,2073.93350036698,1988.82104325264,2267.67431513227,2067.13216648473,2278.71923388307,2184.15388784116
Cspp1,438.308950980635,426.611252081224,469.945074877011,422.052756043886,766.52697377852,641.147900480013,661.7985296557,483.308950823592,616.138230472286,534.556598559831,549.926694446122,554.753176255142
Arfgef1,3588.89696367108,3427.9115396104,3240.411873137,3413.66199741378,3446.14390000848,3842.22789778938,3576.3950271529,3494.33313568168,3439.76508800091,3445.82022876362,3256.36669067618,3399.23265809479
Cpa6,4.84855034270614,2.00286972808087,4.01662457159839,3.10332908855799,2.42061149614269,0,0.894322337372568,1.8842454223142,2.0401928161334,0,0,1.99193241025186
Mir467e,0,0,0,0,0,0,0,0,0,0,0,0
Prex2,719.524870857591,694.99579564406,671.78045959983,711.696804309298,601.118521542102,841.506619380017,789.686623899977,777.251236704607,608.997555615819,531.856817759024,552.033693275418,649.369965742105
A830018L16Rik,0,3.0043045921213,0,0,0,1.86380203627911,0,0,0,0,0,0
Mir6341,0,0,0,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,0,0,0
Sulf1,10178.0768794087,10587.1693826355,9143.84583724373,9843.75986890593,10130.2591113572,11889.1931894244,11470.5782991406,11584.3408563877,10275.4311184559,11421.8726412818,10596.097112527,10520.3910247452
Slco5a1,0,6.0086091842426,0,1.03444302951933,0,0,3.57728934949027,0,0,2.69978080080723,0,0
Prdm14,0,0,0,0,0,0.931901018139554,0,0,0,0,0,0
Ncoa2,2552.27690040051,2460.52546094734,2383.86668324364,2295.42908250339,2527.92527247169,2587.88912737354,2570.28239760876,2499.45155269978,2202.388145016,2312.81221935819,2056.4308573924,2285.74244076401
Tram1,4660.42658940914,4420.33348987447,4023.65366459868,4031.22448603682,3455.01947549434,4197.28218570055,3681.03074062549,3953.14689601519,4753.64926159081,4390.74350904615,4220.31865507886,4301.57803993889
Lactb2,1437.1103215781,1380.97867751176,1347.57754377126,1297.19155901724,1570.16999049789,1719.35737846748,1524.81958522023,1401.87859420176,1216.97501482357,1291.39514971946,1238.91531162575,1321.64715420211
Xkr9,0,0,0,3.10332908855799,0,0,0.894322337372568,0,0,1.79985386720482,0,0
Gm5523,0,0,0,0,0,0,0,0,0,0,0,0
Eya1,54.3037638383088,50.0717432020216,61.2535247168754,38.2743920922152,51.6397119177108,37.2760407255821,45.610439206001,36.7427857351269,98.9493515824697,98.991962696265,75.8519578546375,101.588552922845
Msc,0,0,0,0,0,0,0,0,0,0,0,0
Trpa1,0,0,0,0,0,0,3.57728934949027,1.8842454223142,0,0,0,0
Kcnb2,0,0,0,0,0,0,0,0,0,0,0,0
Terf1,244.366937272389,276.396022475159,242.001630438803,255.507428291274,270.301617069268,266.523691187912,248.621609789574,238.357045922746,446.802226733214,423.865585726735,404.543775224734,354.563969024831
Sbspon,2.90913020562368,0,2.00831228579919,10.3444302951933,14.5236689768562,3.72760407255821,9.83754571109825,0,4.08038563226679,2.69978080080723,1.05349941464774,2.98789861537779
4930444P10Rik,0,0,0,0,1.61374099742846,0,0,0,0,0,0,0
Rpl7,28536.6278970313,30725.0230636245,31915.0946897779,29288.1854947807,27292.3946190089,28199.3248089029,29245.2347544203,30855.4609131062,31513.8383344045,32286.6785968536,30375.5486225384,30679.7429826991
Rdh10,459.642572488542,445.638514497993,405.679081731437,505.842641434952,376.001652400832,385.807021509775,435.534978300441,618.032498519057,288.687283482876,305.975157424819,328.691817370096,352.572036614579
Stau2,352.974464949007,340.487853773747,325.346590299469,319.642896121472,298.542084524266,297.276424786518,313.907140417771,304.305635703743,370.294996128211,302.375449690409,347.654806833755,307.753557383912
Ube2w,1847.29768057104,1809.59279932106,1744.2192202166,1706.83099870689,1581.46617747989,1640.14579192561,1670.59412621196,1963.38373005139,1514.84316597905,1551.47403353055,1721.41804353441,1710.07397420122
Tceb1,1370.20032684875,1419.03320234529,1702.04466221482,1548.56121519043,1257.10423699677,1339.14176306654,1480.1034683516,1530.00728291913,1563.80779356625,1317.49303079393,1585.51661904485,1505.9009021504
D030040B21Rik,0,0,2.00831228579919,0,3.22748199485693,0,0,0,0,0,0,0
Tmem70,1171.4097627978,1130.61996150165,1142.72969061974,1086.16518099529,1005.36064139793,1014.84020875397,989.12050513406,1162.57942556786,1294.50234183664,1199.60260249201,1296.85777943137,1258.90128327917
Ly96,120.244048499112,115.16500936465,94.3906774325621,134.477593837513,167.82906373256,106.236716067909,171.709888775533,150.739633785136,198.918799573006,170.086190450855,146.436418636036,113.540147384356
Jph1,53.3340537697675,86.1233983074772,67.278461574273,85.8587714501043,89.5626253572797,99.7134089409322,92.1152007493745,64.0643443586827,77.5273270130691,41.3966389457108,40.0329777566143,45.8144454357927
Gdap1,2.90913020562368,4.00573945616173,6.02493685739758,2.06888605903866,4.03435249357116,0.931901018139554,4.47161168686284,1.8842454223142,7.14067485646689,5.39956160161446,10.5349941464774,8.96369584613336
Pi15,1504.99002637599,1422.03750693741,1320.46532791297,1442.01358314994,1311.16456041063,1394.12392313677,1412.13497071128,1465.00081584929,839.539343838893,952.122695751349,1013.46643689113,1296.74799907396
Gm16070,0,0,0,0,3.22748199485693,0,0,0,0,0,0,0
Crispld1,0,0,7.02909300029718,1.03444302951933,1.61374099742846,1.86380203627911,4.47161168686284,0,1.0200964080667,0,3.16049824394323,3.98386482050371
Crisp4,0,0,0,0,0,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0,0,0,0,0
Gm15386,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2b,0,0,0,0,0,0,0,0,0,0,0,0
Pkhd1,0,4.00573945616173,0,0,4.03435249357116,4.65950509069777,1.78864467474514,6.59485897809969,9.18086767260029,0,0,0
4930486I03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Linc-md1,0,0,0,0,0,0,0,0,0,0,0,0
Mir206,0,0,0,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0,0,0,0
Il17a,0,0,0,0,0,0,0,0,0,0,0,0
Il17f,0,0,0,0,0,0,0,0,0,0,2.10699882929549,0
Mcm3,1726.08392200339,1751.50957720672,1598.61657949616,1426.49693770715,1020.6911808735,1011.11260468142,1045.46281238853,735.797837413694,2122.8206251868,1960.94078831965,1824.66098616989,1499.92510491965
6720483E21Rik,6.78797047978859,9.0129137763639,13.0540298576948,4.13777211807731,33.8885609459977,22.3656244353493,12.5205127232159,10.3633498227281,11.2210604887337,5.39956160161446,30.5514830247846,6.9717634358815
Paqr8,332.610553509641,278.39889220324,272.126314725791,334.125098534743,274.335969562839,257.204681006517,276.345602248123,309.016249259529,347.852875150744,349.171650237735,370.831793956006,346.596239383823
Efhc1,140.607959938478,124.177923141014,104.432238861558,139.649808985109,115.382481316135,95.0539038502345,135.93699528063,132.839302273151,122.411568968004,143.088382442783,156.971412782514,141.427201127882
Tram2,516.855466532474,420.602642896982,434.799609875525,447.913831781869,420.379529830115,469.678113142335,407.810985841891,432.434324421108,481.485504607482,469.761859340458,365.564296882767,439.221096460535
