sample,condition,batch
A1_202001VS_E080_2,Vehicle E080,202001VS-E080-2
A2_202001VS_E080_2,Vehicle E080,202001VS-E080-2
A3_202001VS_E080_2,Vehicle E080,202001VS-E080-2
A4_202001VS_E080_2,Vehicle E080,202001VS-E080-2
B1_202001VS_E080_2,Galloflavin,202001VS-E080-2
B2_202001VS_E080_2,Galloflavin,202001VS-E080-2
B3_202001VS_E080_2,Galloflavin,202001VS-E080-2
B4_202001VS_E080_2,Galloflavin,202001VS-E080-2
D1_202001VS_E080_2,PDGF-BB,202001VS-E080-2
D2_202001VS_E080_2,PDGF-BB,202001VS-E080-2
D3_202001VS_E080_2,PDGF-BB,202001VS-E080-2
D4_202001VS_E080_2,PDGF-BB,202001VS-E080-2
