"","mgi_symbol","hsapiens_homolog_associated_gene_name","Frequency","% of Ly6a TFs that bind Mouse gene’s PPR","HumanCarotid_scRNA-seq_cluster"
"43","Gm20816","SPIN2B",9601,13.5486784358551,NA
"44","Gm20816","SPIN2A",9601,13.5486784358551,NA
"418","Gm20917","SPIN2B",6002,8.46986438621001,NA
"419","Gm20917","SPIN2A",6002,8.46986438621001,NA
"615","Gm20854","SPIN2B",6115,8.62932701127528,NA
"616","Gm20854","SPIN2A",6115,8.62932701127528,NA
"770","Gm20747","SPIN2B",9746,13.753298618461,NA
"771","Gm20747","SPIN2A",9746,13.753298618461,NA
"855","Sly","SYCP3",6490,9.15851713870426,NA
"860","Gm21943","SPIN2B",6275,8.85511479897831,NA
"861","Gm21943","SPIN2A",6275,8.85511479897831,NA
"928","Gm20823","SPIN2B",10057,14.1921736308087,NA
"929","Gm20823","SPIN2A",10057,14.1921736308087,NA
"982","Gm20736","SYCP3",10540,14.8737705149373,NA
"1007","Gm20852","SPIN2B",6252,8.822657804496,NA
"1008","Gm20852","SPIN2A",6252,8.822657804496,NA
"1013","Ssty2","SPIN2B",6302,8.8932164881532,NA
"1014","Ssty2","SPIN2A",6302,8.8932164881532,NA
"1229","Gm21677","RBMY1J",6890,9.72298660796184,NA
"1230","Gm21677","RBMY1E",6890,9.72298660796184,NA
"1231","Gm21677","RBMY1B",6890,9.72298660796184,NA
"1232","Gm21677","RBMY1F",6890,9.72298660796184,NA
"1233","Gm21677","RBMY1A1",6890,9.72298660796184,NA
"1234","Gm21677","RBMY1D",6890,9.72298660796184,NA
"1236","Gm21693","RBMY1J",9415,13.2862001326503,NA
"1237","Gm21693","RBMY1E",9415,13.2862001326503,NA
"1238","Gm21693","RBMY1B",9415,13.2862001326503,NA
"1239","Gm21693","RBMY1F",9415,13.2862001326503,NA
"1240","Gm21693","RBMY1A1",9415,13.2862001326503,NA
"1241","Gm21693","RBMY1D",9415,13.2862001326503,NA
"1243","Gm21704","RBMY1J",6816,9.61855975614919,NA
"1244","Gm21704","RBMY1E",6816,9.61855975614919,NA
"1245","Gm21704","RBMY1B",6816,9.61855975614919,NA
"1246","Gm21704","RBMY1F",6816,9.61855975614919,NA
"1247","Gm21704","RBMY1A1",6816,9.61855975614919,NA
"1248","Gm21704","RBMY1D",6816,9.61855975614919,NA
"1250","Gm21708","RBMY1J",5532,7.80661275983235,NA
"1251","Gm21708","RBMY1E",5532,7.80661275983235,NA
"1252","Gm21708","RBMY1B",5532,7.80661275983235,NA
"1253","Gm21708","RBMY1F",5532,7.80661275983235,NA
"1254","Gm21708","RBMY1A1",5532,7.80661275983235,NA
"1255","Gm21708","RBMY1D",5532,7.80661275983235,NA
"1259","Gm3376","RBMY1J",5391,7.60763727191906,NA
"1260","Gm3376","RBMY1E",5391,7.60763727191906,NA
"1261","Gm3376","RBMY1B",5391,7.60763727191906,NA
"1262","Gm3376","RBMY1F",5391,7.60763727191906,NA
"1263","Gm3376","RBMY1A1",5391,7.60763727191906,NA
"1264","Gm3376","RBMY1D",5391,7.60763727191906,NA
"1398","Gm20815","SPIN2B",5903,8.33015819256876,NA
"1399","Gm20815","SPIN2A",5903,8.33015819256876,NA
"1482","Gm21379","",5681,8.0168776371308,NA
"1548","Gm20877","SPIN2B",5359,7.56247971437845,NA
"1549","Gm20877","SPIN2A",5359,7.56247971437845,NA
"1553","Rbm31y","",5681,8.0168776371308,NA
"1562","Gm20831","SPIN2B",5271,7.43829643114178,NA
"1563","Gm20831","SPIN2A",5271,7.43829643114178,NA
"1565","Srsy","",4985,7.03470076062261,NA
"1568","Ssty1","SPIN2B",5269,7.43547408379549,NA
"1569","Ssty1","SPIN2A",5269,7.43547408379549,NA
"1615","Gm20865","SPIN2B",6242,8.80854606776456,NA
"1616","Gm20865","SPIN2A",6242,8.80854606776456,NA
