"","mgi_symbol","hsapiens_homolog_associated_gene_name","Frequency","% of Myh11 TFs that bind Mouse gene’s PPR","Number_UNIQUE_Myh11_TFs"
"1","Gm20816","",12277,16.3329652640121,NA
"2","Gm20917","",8522,11.3374220069978,NA
"3","Gm20854","",8290,11.0287759256057,NA
"4","Gm20747","",12366,16.4513682866151,NA
"5","Sly","SYCP3",7782,10.3529474370402,NA
"6","Gm21943","",8545,11.3680205409289,NA
"7","Gm20823","",12700,16.8957122141365,NA
"8","Gm20736","SYCP3",13031,17.3360650285365,NA
"9","Gm20852","",8289,11.0274455545652,NA
"10","Ssty2","",8393,11.1658041427754,NA
"11","Gm21677","RBMY1E",8376,11.1431878350872,NA
"12","Gm21677","RBMY1D",8376,11.1431878350872,NA
"13","Gm21677","RBMY1B",8376,11.1431878350872,NA
"14","Gm21677","RBMY1A1",8376,11.1431878350872,NA
"15","Gm21677","RBMY1J",8376,11.1431878350872,NA
"16","Gm21677","RBMY1F",8376,11.1431878350872,NA
"17","Gm21693","RBMY1E",12457,16.5724320512991,NA
"18","Gm21693","RBMY1D",12457,16.5724320512991,NA
"19","Gm21693","RBMY1B",12457,16.5724320512991,NA
"20","Gm21693","RBMY1A1",12457,16.5724320512991,NA
"21","Gm21693","RBMY1J",12457,16.5724320512991,NA
"22","Gm21693","RBMY1F",12457,16.5724320512991,NA
"23","Gm21704","RBMY1E",8376,11.1431878350872,NA
"24","Gm21704","RBMY1D",8376,11.1431878350872,NA
"25","Gm21704","RBMY1B",8376,11.1431878350872,NA
"26","Gm21704","RBMY1A1",8376,11.1431878350872,NA
"27","Gm21704","RBMY1J",8376,11.1431878350872,NA
"28","Gm21704","RBMY1F",8376,11.1431878350872,NA
"29","Gm21708","RBMY1E",8722,11.6034962150944,NA
"30","Gm21708","RBMY1D",8722,11.6034962150944,NA
"31","Gm21708","RBMY1B",8722,11.6034962150944,NA
"32","Gm21708","RBMY1A1",8722,11.6034962150944,NA
"33","Gm21708","RBMY1J",8722,11.6034962150944,NA
"34","Gm21708","RBMY1F",8722,11.6034962150944,NA
"35","Gm3376","RBMY1E",8470,11.2682427128926,NA
"36","Gm3376","RBMY1D",8470,11.2682427128926,NA
"37","Gm3376","RBMY1B",8470,11.2682427128926,NA
"38","Gm3376","RBMY1A1",8470,11.2682427128926,NA
"39","Gm3376","RBMY1J",8470,11.2682427128926,NA
"40","Gm3376","RBMY1F",8470,11.2682427128926,NA
"41","Gm20815","",8619,11.4664679979246,NA
"42","Gm21379","",8932,11.8828741335959,NA
"43","Gm20877","",7435,9.89130868599252,NA
"44","Rbm31y","",8932,11.8828741335959,NA
"45","Gm20831","",7100,9.44563438743065,NA
"46","Srsy","",6754,8.98532600742347,NA
"47","Ssty1","",6863,9.13033645083614,NA
"48","Gm20865","",8010,10.6562720342704,NA
"49","Zfy1","ZNF549",8719,11.5995051019729,NA
"50","Zfy1","ZNF610",8719,11.5995051019729,NA
"51","Zfy1","ZNF480",8719,11.5995051019729,NA
"52","Zfy1","ZNF584",8719,11.5995051019729,NA
"53","Zfy1","ZNF418",8719,11.5995051019729,NA
"54","Zfy1","ZNF586",8719,11.5995051019729,NA
"55","Zfy1","ZNF154",8719,11.5995051019729,NA
"56","Zfy1","ZNF256",8719,11.5995051019729,NA
"57","Zfy1","ZNF134",8719,11.5995051019729,NA
"58","Zfy1","ZNF772",8719,11.5995051019729,NA
"59","Zfy1","ZNF837",8719,11.5995051019729,NA
"60","Zfy1","ZNF304",8719,11.5995051019729,NA
"61","Zfy1","ZNF548",8719,11.5995051019729,NA
"62","Zfy1","",8719,11.5995051019729,NA
"63","Zfy1","ZNF792",8719,11.5995051019729,NA
"64","Zfy1","ZNF793",8719,11.5995051019729,NA
"65","Zfy1","ZNF419",8719,11.5995051019729,NA
"66","Zfy1","ZNF562",8719,11.5995051019729,NA
"67","Zfy1","ZNF561",8719,11.5995051019729,NA
"68","Zfy1","ZNF773",8719,11.5995051019729,NA
"69","Zfy1","ZNF587B",8719,11.5995051019729,NA
"70","Zfy1","ZNF552",8719,11.5995051019729,NA
"71","Uba1y","",7372,9.80749531044208,NA
"72","Kdm5d","KDM5D",8574,11.4066013011029,NA
"73","Eif2s3y","",7375,9.81148642356353,NA
"74","Uty","UTY",10268,13.6602498436814,NA
"75","Ddx3y","DDX3Y",7903,10.5139223329387,NA
"76","Usp9y","USP9Y",8009,10.6549416632299,NA
"77","Chst9","CHST9",12207,16.2398392911783,NA
"78","Cdh2","CDH2",11712,15.5813056261391,NA
"79","Zfy2","ZNF549",12158,16.1746511101946,NA
"80","Zfy2","ZNF610",12158,16.1746511101946,NA
"81","Zfy2","ZNF480",12158,16.1746511101946,NA
"82","Zfy2","ZNF584",12158,16.1746511101946,NA
"83","Zfy2","ZNF418",12158,16.1746511101946,NA
"84","Zfy2","ZNF586",12158,16.1746511101946,NA
"85","Zfy2","ZNF154",12158,16.1746511101946,NA
"86","Zfy2","ZNF256",12158,16.1746511101946,NA
"87","Zfy2","ZNF134",12158,16.1746511101946,NA
"88","Zfy2","ZNF772",12158,16.1746511101946,NA
"89","Zfy2","ZNF837",12158,16.1746511101946,NA
"90","Zfy2","ZNF304",12158,16.1746511101946,NA
"91","Zfy2","ZNF548",12158,16.1746511101946,NA
"92","Zfy2","",12158,16.1746511101946,NA
"93","Zfy2","ZNF792",12158,16.1746511101946,NA
"94","Zfy2","ZNF793",12158,16.1746511101946,NA
"95","Zfy2","ZNF419",12158,16.1746511101946,NA
"96","Zfy2","ZNF562",12158,16.1746511101946,NA
"97","Zfy2","ZNF561",12158,16.1746511101946,NA
"98","Zfy2","ZNF773",12158,16.1746511101946,NA
"99","Zfy2","ZNF587B",12158,16.1746511101946,NA
"100","Zfy2","ZNF552",12158,16.1746511101946,NA
"101","Cep120","CEP120",7888,10.4939667673314,NA
"102","Rbmy","RBMY1E",13077,17.3972620963987,NA
"103","Rbmy","RBMY1D",13077,17.3972620963987,NA
"104","Rbmy","RBMY1B",13077,17.3972620963987,NA
"105","Rbmy","RBMY1A1",13077,17.3972620963987,NA
"106","Rbmy","RBMY1J",13077,17.3972620963987,NA
"107","Rbmy","RBMY1F",13077,17.3972620963987,NA
"108","Csnk1g3","CSNK1G3",6066,8.07003073157103,NA
"109","Dsc3","DSC3",8667,11.5303258078678,NA
"110","Zfp608","ZNF608",8379,11.1471789482087,NA
"111","Gramd3","GRAMD2B",12052,16.0336317799034,NA
"112","Dsc2","DSC2",7841,10.4314393284287,NA
"113","Dsc1","DSC1",7166,9.53343887610254,NA
"114","Dsg1c","DSG1",8151,10.8438543509785,NA
"115","Dsg1a","DSG1",7307,9.72102119281067,NA
"116","Dsg1b","DSG1",5910,7.86249284925566,NA
"117","Aldh7a1","ALDH7A1",11757,15.6411723229609,NA
"118","Lratd1","LRATD1",6748,8.97734378118057,NA
"119","Klf9","KLF9",6532,8.6899836364362,NA
"120","Rbm14","RBM14",8860,11.7870874186811,NA
"121","Dsg4","DSG4",7129,9.48421514760467,NA
"122","Habp2","HABP2",5197,6.91393829739114,NA
"123","Trib2","TRIB2",7394,9.83676347333271,NA
"124","Phax","PHAX",11737,15.6145649021512,NA
"125","Tex43","TEX43",8720,11.6008354730134,NA
"126","Heatr5a","HEATR5A",8668,11.5316561789083,NA
"127","Lmnb1","LMNB1",8546,11.3693509119693,NA
"128","Ccs","CCS",8310,11.0553833464153,NA
"129","Marchf3","MARCHF3",6982,9.28865060465364,NA
"130","Dsg3","DSG3",7418,9.86869237830431,NA
"131","Ccdc87","CCDC87",8301,11.043410007051,NA
"132","Ctsf","CTSF",7694,10.2358747854777,NA
"133","Dtd2","DTD2",7254,9.65051152766507,NA
"134","Gpr33","GPR33",7461,9.92589833304508,NA
"135","Vrtn","VRTN",9127,12.1422964864901,NA
"136","C330018D20Rik","C5orf63",7255,9.65184189870555,NA
"137","Dsg2","DSG2",7776,10.3449652107973,NA
"138","Actn3","ACTN3",8149,10.8411936088975,NA
"139","Smc5","SMC5",9035,12.0199023507656,NA
"140","Ttr","TTR",8468,11.2655819708117,NA
"141","Syndig1l","SYNDIG1L",8343,11.0992855907513,NA
"142","B4galt6","B4GALT6",7209,9.59064483084332,NA
"143","Nubpl","NUBPL",7120,9.47224180824032,NA
"144","Megf10","MEGF10",10059,13.3822022962204,NA
"145","Npc2","NPC2",7426,9.87933534662817,NA
"146","Isca2","ISCA2",7430,9.88465683079011,NA
"147","Prrc1","PRRC1",5757,7.65894608006173,NA
"148","Arhgap5","ARHGAP5",11530,15.3391780967712,NA
"149","Ctxn3","CTXN3",7514,9.9964079981907,NA
"150","Dio3","DIO3",5003,6.6558463155374,NA
"151","Zdhhc24","ZDHHC24",8342,11.0979552197108,NA
"152","Trappc8","TRAPPC8",9133,12.150278712733,NA
"153","Akap6","AKAP6",12048,16.0283102957415,NA
"154","Mamdc2","MAMDC2",6619,8.80572591695824,NA
"155","1700028P14Rik","CFAP95",6597,8.77645775406761,NA
"156","Npas3","NPAS3",5869,7.80794763659585,NA
"157","Ptar1","PTAR1",6792,9.03588010696183,NA
"158","Ccdc192","CCDC192",7840,10.4301089573882,NA
"159","Bbs1","",8047,10.7054957627682,NA
"160","Bbs1","BBS1",8047,10.7054957627682,NA
"161","Egln3","EGLN3",7251,9.64652041454362,NA
"162","Sptssa","SPTSSA",8650,11.5077095001796,NA
"163","Slc12a2","SLC12A2",7250,9.64519004350313,NA
"164","Ltbp2","LTBP2",5642,7.50595341040616,NA
"165","Apba1","APBA1",9704,12.9099205768489,NA
"166","Rnf138","RNF138",9029,12.0119201245227,NA
"167","Krtap20-2","",8120,10.8026128487235,NA
"168","Krtap21-1","",6733,8.95738821557332,NA
"169","Krtap6-2","",7514,9.9964079981907,NA
"170","Ifitm7","",9046,12.0345364322109,NA
"171","Ifitm7","IFITM3",9046,12.0345364322109,NA
"172","Ifitm7","IFITM2",9046,12.0345364322109,NA
"173","Ifitm7","IFITM1",9046,12.0345364322109,NA
"174","Krtap8-1","KRTAP8-1",7327,9.74762861362034,NA
"175","Krtap7-1","KRTAP7-1",7396,9.83942421541368,NA
"176","Krtap11-1","KRTAP11-1",6953,9.25006984447963,NA
"177","Bmerb1","BMERB1",9030,12.0132504955632,NA
"178","Fam189a2","FAM189A2",8946,11.9014993281626,NA
"179","Rabl3","RABL3",7842,10.4327696994692,NA
"180","Mep1b","MEP1B",10264,13.6549283595195,NA
"181","Dpp3","DPP3",7508,9.9884257719478,NA
"182","Garem1","GAREM1",7425,9.87800497558769,NA
"183","Hgd","HGD",8271,11.0034988758365,NA
"184","Fbn2","FBN2",8031,10.6842098261205,NA
"185","Eapp","EAPP",8300,11.0420796360105,NA
"186","Ndufb4","NDUFB4",8485,11.2881982784999,NA
"187","Marf1","MARF1",10376,13.8039299160536,NA
"188","Ppp2r5c","PPP2R5C",10895,14.4943924860644,NA
"189","Tjp2","TJP2",17841,23.7351497332606,NA
"190","Tjp2","",17841,23.7351497332606,NA
"191","Fstl1","FSTL1",8103,10.7799965410353,NA
"192","Klhl14","KLHL14",7293,9.70239599824391,NA
"193","Gm36028","BTN3A1",5838,7.76670613434087,NA
"194","Lrrc58","LRRC58",8004,10.6482898080275,NA
"195","Slc27a6","SLC27A6",7478,9.9485146407333,NA
"196","Gpr156","GPR156",7011,9.32723136482765,NA
