"","X","mgi_symbol","hsapiens_homolog_associated_gene_name","Associated_Myh11_TFs","Frequency","X..of.Myh11.TFs.that.bind.Mouse.gene.s.PPR"
"311",311,"Myh11","MYH11",NA,9344,96.3298969072165
"16872",16872,"Macf1","MACF1",NA,2706,27.8969072164948
"5999",5999,"Tcf4","TCF4",NA,2523,26.0103092783505
"3775",3775,"Frmd4a","FRMD4A",NA,2500,25.7731958762887
"14822",14822,"Etl4","KIAA1217",NA,2464,25.4020618556701
"17026",17026,"Map2","MAP2",NA,2434,25.0927835051546
"6462",6462,"Ank3","ANK3",NA,2425,25
"10071",10071,"Foxp1","FOXP1",NA,2395,24.6907216494845
"10072",10072,"Foxp1","",NA,2395,24.6907216494845
"2965",2965,"Nedd4l","NEDD4L",NA,2382,24.5567010309278
"10275",10275,"Lhfpl2","LHFPL2",NA,2380,24.5360824742268
"19026",19026,"Rbm47","RBM47",NA,2306,23.7731958762887
"6830",6830,"Celf2","CELF2",NA,2305,23.7628865979381
"7199",7199,"Ank2","ANK2",NA,2299,23.7010309278351
"15950",15950,"Sox6","SOX6",NA,2295,23.659793814433
"3048",3048,"Sgms1","SGMS1",NA,2289,23.5979381443299
"265",265,"Gcnt2","GCNT2",NA,2262,23.319587628866
"1620",1620,"Inpp4b","INPP4B",NA,2261,23.3092783505155
"8336",8336,"Frmd4b","FRMD4B",NA,2250,23.1958762886598
"7264",7264,"Oxr1","OXR1",NA,2248,23.1752577319588
"13843",13843,"Dst","DST",NA,2229,22.979381443299
"15592",15592,"Pde4b","PDE4B",NA,2211,22.7938144329897
"12410",12410,"Utrn","UTRN",NA,2208,22.7628865979381
"548",548,"Zbtb20","ZBTB20",NA,2201,22.6907216494845
"8151",8151,"Ptprd","PTPRD",NA,2198,22.659793814433
"11919",11919,"Dlg2","DLG2",NA,2196,22.639175257732
"7317",7317,"Gramd1b","GRAMD1B",NA,2183,22.5051546391753
"14439",14439,"Mtus1","MTUS1",NA,2162,22.2886597938144
"18727",18727,"Trak1","TRAK1",NA,2119,21.8453608247423
"12098",12098,"Tspan5","TSPAN5",NA,2110,21.7525773195876
"3364",3364,"Nrxn3","NRXN3",NA,2096,21.6082474226804
"16088",16088,"Mecom","MECOM",NA,2096,21.6082474226804
"13751",13751,"Epb41l2","EPB41L2",NA,2094,21.5876288659794
"8052",8052,"Septin9","SEPTIN9",NA,2091,21.5567010309278
"5335",5335,"Abr","ABR",NA,2087,21.5154639175258
"12008",12008,"Stard13","STARD13",NA,2078,21.4226804123711
"2929",2929,"Prkg1","PRKG1",NA,2064,21.2783505154639
"11823",11823,"Kalrn","KALRN",NA,2058,21.2164948453608
"1731",1731,"Arhgap24","ARHGAP24",NA,2055,21.1855670103093
"6928",6928,"Pde4d","PDE4D",NA,2033,20.9587628865979
"7811",7811,"Psd3","PSD3",NA,2033,20.9587628865979
"4936",4936,"Sorbs1","SORBS1",NA,2026,20.8865979381443
"12165",12165,"Mid1","MID1",NA,2026,20.8865979381443
"21551",21551,"Fmn1","FMN1",NA,2023,20.8556701030928
"3218",3218,"Phactr3","PHACTR3",NA,2017,20.7938144329897
"751",751,"Phactr1","PHACTR1",NA,2014,20.7628865979381
"18564",18564,"Glcci1","GLCCI1",NA,2012,20.7422680412371
"10042",10042,"Pde10a","PDE10A",NA,1995,20.5670103092783
"12671",12671,"Rasgrp3","RASGRP3",NA,1992,20.5360824742268
"13259",13259,"Nrg1","NRG1",NA,1991,20.5257731958763
"13454",13454,"Nrg1","",NA,1991,20.5257731958763
"5817",5817,"Tnfaip8","TNFAIP8",NA,1985,20.4639175257732
"2616",2616,"Prlr","PRLR",NA,1976,20.3711340206186
"6655",6655,"Prickle2","PRICKLE2",NA,1976,20.3711340206186
"17006",17006,"Dpp6","DPP6",NA,1971,20.319587628866
"3482",3482,"Fyn","FYN",NA,1965,20.2577319587629
"9541",9541,"Chd9","CHD9",NA,1965,20.2577319587629
"15326",15326,"Tmcc1","TMCC1",NA,1963,20.2371134020619
"17315",17315,"Tln2","TLN2",NA,1962,20.2268041237113
"17980",17980,"Shroom3","SHROOM3",NA,1961,20.2164948453608
"11877",11877,"Kifc3","KIFC3",NA,1958,20.1855670103093
"4693",4693,"Iqsec1","IQSEC1",NA,1956,20.1649484536082
"10670",10670,"Fry","FRY",NA,1955,20.1546391752577
"15070",15070,"Schip1","SCHIP1",NA,1955,20.1546391752577
"15071",15071,"Schip1","IQCJ-SCHIP1",NA,1955,20.1546391752577
"2415",2415,"Sorbs2","SORBS2",NA,1950,20.1030927835052
"1239",1239,"Fgd4","FGD4",NA,1938,19.979381443299
"4141",4141,"Rgs3","RGS3",NA,1935,19.9484536082474
"9339",9339,"Pde4dip","PDE4DIP",NA,1930,19.8969072164948
"2793",2793,"Ripor2","RIPOR2",NA,1928,19.8762886597938
"1233",1233,"Ablim1","ABLIM1",NA,1925,19.8453608247423
