"","mgi_symbol","hsapiens_homolog_associated_gene_name","Frequency","Associated_Ly6a_TFs"
"1","mt-Tf","",0,NA
"2","mt-Rnr1","",0,NA
"3","mt-Tv","",0,NA
"4","mt-Rnr2","",0,NA
"5","mt-Tl1","",0,NA
"6","mt-Nd1","MT-ND1",0,NA
"7","mt-Ti","",0,NA
"8","mt-Tq","",0,NA
"9","mt-Tm","",0,NA
"10","mt-Nd2","MT-ND2",0,NA
"11","mt-Tw","",0,NA
"12","mt-Ta","",0,NA
"13","mt-Tn","",0,NA
"14","mt-Tc","",0,NA
"15","mt-Ty","",0,NA
"16","mt-Co1","MT-CO1",0,NA
"17","mt-Ts1","",0,NA
"18","mt-Td","",0,NA
"19","mt-Co2","MT-CO2",0,NA
"20","mt-Tk","",0,NA
"21","mt-Atp8","MT-ATP8",0,NA
"22","mt-Atp6","MT-ATP6",0,NA
"23","mt-Co3","MT-CO3",0,NA
"24","mt-Tg","",0,NA
"25","mt-Nd3","MT-ND3",0,NA
"26","mt-Tr","",0,NA
"27","mt-Nd4l","MT-ND4L",0,NA
"28","mt-Nd4","MT-ND4",0,NA
"29","mt-Th","",0,NA
"30","mt-Ts2","",0,NA
"31","mt-Tl2","",0,NA
"32","mt-Nd5","MT-ND5",0,NA
"33","mt-Nd6","MT-ND6",0,NA
"34","mt-Te","",0,NA
"35","mt-Cytb","MT-CYB",0,NA
"36","mt-Tt","",0,NA
"37","mt-Tp","",0,NA
"38","Gm28489","",0,NA
"39","Gm21867","",0,NA
"40","Gm29448","",0,NA
"41","Gm21127","",0,NA
"42","Gm28488","",0,NA
"43","Gm20816","SPIN2B",0,NA
"44","Gm20816","SPIN2A",0,NA
"45","Gm28491","",0,NA
"46","Gm29447","",0,NA
"47","Gm29446","",0,NA
"48","Gm29452","",0,NA
"49","Gm29451","",0,NA
"50","Gm20817","SYCP3",0,NA
"51","Gm28490","SYCP3",0,NA
"52","Gm28633","",0,NA
"53","Gm21562","",0,NA
"54","Gm29410","",0,NA
"55","Gm28298","",0,NA
"56","Gm21572","",0,NA
"57","Gm28297","",0,NA
"58","Gm28819","",0,NA
"59","Gm21753","",0,NA
"60","Gm21723","",0,NA
"61","Gm28462","",0,NA
"62","Gm20818","",0,NA
"63","Gm21151","",0,NA
"64","Gm28296","",0,NA
"65","Gm21821","",0,NA
"66","Gm29409","",0,NA
"67","Gm28632","",0,NA
"68","Gm28295","",0,NA
"69","Gm21842","",0,NA
"70","Gm28101","",0,NA
"71","Gm28170","",0,NA
"72","Gm21744","",0,NA
"73","Gm33815","SPIN2B",0,NA
"74","Gm33815","SPIN2A",0,NA
"75","Gm21160","",0,NA
"76","Gm28764","",0,NA
"77","Gm28637","",0,NA
"78","Gm28636","",0,NA
"79","Gm20932","",0,NA
"80","Gm28762","",0,NA
"81","Gm29134","",0,NA
"82","Gm28763","",0,NA
"83","Gm28303","",0,NA
"84","Gm28304","",0,NA
"85","Gm28824","",0,NA
"86","Gm28081","",0,NA
"87","Gm28080","",0,NA
"88","Gm21524","",0,NA
"89","Gm21094","SYCP3",0,NA
"90","Gm21588","",0,NA
"91","Gm28761","",0,NA
"92","Gm21599","",0,NA
"93","Gm28765","",0,NA
"94","Gm21810","",0,NA
"95","Gm21916","",0,NA
"96","Gm28079","SPIN2B",0,NA
"97","Gm28079","SPIN2A",0,NA
"98","Gm28302","",0,NA
"99","Gm29191","",0,NA
"100","Gm28082","",0,NA
"101","Gm21756","",0,NA
"102","Gm21672","",0,NA
"103","Gm28210","",0,NA
"104","Gm29644","SPIN2B",0,NA
"105","Gm29644","SPIN2A",0,NA
"106","Gm29074","",0,NA
"107","Gm28211","",0,NA
"108","Gm21118","SPIN2B",0,NA
"109","Gm21118","SPIN2A",0,NA
"110","Gm28518","",0,NA
"111","Gm28519","",0,NA
"112","Gm28520","",0,NA
"113","Gm29423","",0,NA
"114","Gm29424","",0,NA
"115","4932431L22Rik","",0,NA
"116","Gm29425","",0,NA
"117","Gm20838","SYCP3",0,NA
"118","Gm20888","SYCP3",0,NA
"119","Gm21626","",0,NA
"120","Gm28238","",0,NA
"121","Gm28433","",0,NA
"122","Gm28521","",0,NA
"123","Gm28431","",0,NA
"124","Gm21633","",0,NA
"125","Gm28432","",0,NA
"126","Gm20886","",0,NA
"127","Gm28522","",0,NA
"128","Gm21808","",0,NA
"129","Gm21745","",0,NA
"130","Gm28517","",0,NA
"131","Gm29532","",0,NA
"132","Gm29531","",0,NA
"133","Gm28840","",0,NA
