"","X","mgi_symbol","hsapiens_homolog_associated_gene_name","Associated_Myh11_TFs","Frequency","X..of.Myh11.TFs.that.bind.Mouse.gene.s.PPR"
"311",311,"Myh11","MYH11",NA,9700,100
"16872",16872,"Macf1","MACF1",NA,2776,28.6185567010309
"5999",5999,"Tcf4","TCF4",NA,2608,26.8865979381443
"3775",3775,"Frmd4a","FRMD4A",NA,2583,26.6288659793814
"14822",14822,"Etl4","KIAA1217",NA,2525,26.0309278350515
"17026",17026,"Map2","MAP2",NA,2492,25.6907216494845
"10071",10071,"Foxp1","FOXP1",NA,2461,25.3711340206186
"10072",10072,"Foxp1","",NA,2461,25.3711340206186
"6462",6462,"Ank3","ANK3",NA,2456,25.319587628866
"10275",10275,"Lhfpl2","LHFPL2",NA,2401,24.7525773195876
"2965",2965,"Nedd4l","NEDD4L",NA,2400,24.7422680412371
"15950",15950,"Sox6","SOX6",NA,2373,24.4639175257732
"7199",7199,"Ank2","ANK2",NA,2334,24.0618556701031
"265",265,"Gcnt2","GCNT2",NA,2331,24.0309278350515
"6830",6830,"Celf2","CELF2",NA,2321,23.9278350515464
"1620",1620,"Inpp4b","INPP4B",NA,2320,23.9175257731959
"19026",19026,"Rbm47","RBM47",NA,2320,23.9175257731959
"3048",3048,"Sgms1","SGMS1",NA,2307,23.7835051546392
"15592",15592,"Pde4b","PDE4B",NA,2289,23.5979381443299
"12410",12410,"Utrn","UTRN",NA,2270,23.4020618556701
"8336",8336,"Frmd4b","FRMD4B",NA,2267,23.3711340206186
"548",548,"Zbtb20","ZBTB20",NA,2262,23.319587628866
"7264",7264,"Oxr1","OXR1",NA,2260,23.2989690721649
"13843",13843,"Dst","DST",NA,2256,23.2577319587629
"11919",11919,"Dlg2","DLG2",NA,2252,23.2164948453608
"14439",14439,"Mtus1","MTUS1",NA,2221,22.8969072164948
"8151",8151,"Ptprd","PTPRD",NA,2215,22.8350515463918
"7317",7317,"Gramd1b","GRAMD1B",NA,2199,22.6701030927835
"12008",12008,"Stard13","STARD13",NA,2141,22.0721649484536
"18727",18727,"Trak1","TRAK1",NA,2135,22.0103092783505
"2929",2929,"Prkg1","PRKG1",NA,2130,21.9587628865979
