"","mgi_symbol","hsapiens_homolog_associated_gene_name","Associated_Myh11_TFs","Frequency","% of Myh11 TFs that bind Mouse gene’s PPR","HumanCarotid_scRNA-seq_cluster"
"1","Gm20816","SPIN2B",NA,12340,16.3374463803421,NA
"2","Gm20816","SPIN2A",NA,12340,16.3374463803421,NA
"3","Gm20917","SPIN2B",NA,8542,11.3091140178997,NA
"4","Gm20917","SPIN2A",NA,8542,11.3091140178997,NA
"5","Gm20854","SPIN2B",NA,8310,11.0019594344119,NA
"6","Gm20854","SPIN2A",NA,8310,11.0019594344119,NA
"7","Gm20747","SPIN2B",NA,12381,16.3917280093206,NA
"8","Gm20747","SPIN2A",NA,12381,16.3917280093206,NA
"9","Sly","SYCP3",NA,7787,10.3095376793942,NA
"10","Gm21943","SPIN2B",NA,8565,11.3395646878144,NA
"11","Gm21943","SPIN2A",NA,8565,11.3395646878144,NA
"12","Gm20823","SPIN2B",NA,12762,16.896149976169,NA
"13","Gm20823","SPIN2A",NA,12762,16.896149976169,NA
"14","Gm20736","SYCP3",NA,13036,17.2589101308055,NA
"15","Gm20852","SPIN2B",NA,8309,11.0006354922417,NA
"16","Gm20852","SPIN2A",NA,8309,11.0006354922417,NA
"17","Ssty2","SPIN2B",NA,8413,11.1383254779431,NA
"18","Ssty2","SPIN2A",NA,8413,11.1383254779431,NA
"19","Gm21677","RBMY1J",NA,8381,11.0959593284965,NA
"20","Gm21677","RBMY1E",NA,8381,11.0959593284965,NA
"21","Gm21677","RBMY1B",NA,8381,11.0959593284965,NA
"22","Gm21677","RBMY1F",NA,8381,11.0959593284965,NA
"23","Gm21677","RBMY1A1",NA,8381,11.0959593284965,NA
"24","Gm21677","RBMY1D",NA,8381,11.0959593284965,NA
"25","Gm21693","RBMY1J",NA,12465,16.5029391516179,NA
"26","Gm21693","RBMY1E",NA,12465,16.5029391516179,NA
"27","Gm21693","RBMY1B",NA,12465,16.5029391516179,NA
"28","Gm21693","RBMY1F",NA,12465,16.5029391516179,NA
"29","Gm21693","RBMY1A1",NA,12465,16.5029391516179,NA
"30","Gm21693","RBMY1D",NA,12465,16.5029391516179,NA
"31","Gm21704","RBMY1J",NA,8381,11.0959593284965,NA
"32","Gm21704","RBMY1E",NA,8381,11.0959593284965,NA
"33","Gm21704","RBMY1B",NA,8381,11.0959593284965,NA
"34","Gm21704","RBMY1F",NA,8381,11.0959593284965,NA
"35","Gm21704","RBMY1A1",NA,8381,11.0959593284965,NA
"36","Gm21704","RBMY1D",NA,8381,11.0959593284965,NA
"37","Gm21708","RBMY1J",NA,8727,11.5540433193878,NA
"38","Gm21708","RBMY1E",NA,8727,11.5540433193878,NA
"39","Gm21708","RBMY1B",NA,8727,11.5540433193878,NA
"40","Gm21708","RBMY1F",NA,8727,11.5540433193878,NA
"41","Gm21708","RBMY1A1",NA,8727,11.5540433193878,NA
"42","Gm21708","RBMY1D",NA,8727,11.5540433193878,NA
"43","Gm3376","RBMY1J",NA,8475,11.2204098924959,NA
"44","Gm3376","RBMY1E",NA,8475,11.2204098924959,NA
"45","Gm3376","RBMY1B",NA,8475,11.2204098924959,NA
"46","Gm3376","RBMY1F",NA,8475,11.2204098924959,NA
"47","Gm3376","RBMY1A1",NA,8475,11.2204098924959,NA
"48","Gm3376","RBMY1D",NA,8475,11.2204098924959,NA
"49","Gm20815","SPIN2B",NA,8635,11.4322406397289,NA
"50","Gm20815","SPIN2A",NA,8635,11.4322406397289,NA
"51","Gm21379","",NA,8936,11.8307472329609,NA
"52","Gm20877","SPIN2B",NA,7437,9.84615791982206,NA
"53","Gm20877","SPIN2A",NA,7437,9.84615791982206,NA
